,logFC,logCPM,PValue,QValue
ENSGALG00010012483,1.18987488769102,2.05980705225492,0.0277062453030338,0.363443044383265
ENSGALG00010004974,0.614600813076202,5.5079486808927,0.0279147226705497,0.365304455223048
ENSGALG00010021302,0.63964038188847,6.17073021997094,0.0284382512998763,0.368438175618525
ENSGALG00010019660,2.64054716462244,-1.89340086811571,0.0284768981648762,0.368438175618525
ENSGALG00010013040,0.667937664460986,3.42233460193276,0.0286113243043489,0.369205462683974
ENSGALG00010008094,0.535413620061466,6.14585176430667,0.0294069706158343,0.376330127323866
ENSGALG00010027152,1.34246594774087,0.233286139382996,0.029589870693065,0.378307348726499
ENSGALG00010008910,0.700783304444694,6.90874996147092,0.0296970213189838,0.378949921466956
ENSGALG00010005403,1.40220827080664,-0.0464590361605573,0.029676767452239,0.378949921466956
ENSGALG00010002369,0.715764798583779,3.32055631287662,0.0299443981446558,0.380285292738898
ENSGALG00010020100,0.769089957459023,6.22564536890716,0.0300749778778567,0.381300811214384
ENSGALG00010027119,0.505859918401118,6.42295607394152,0.0304252516170692,0.383830683752458
ENSGALG00010014734,0.766952353749014,2.87699292780559,0.0304210065312447,0.383830683752458
ENSGALG00010001847,1.68554007996421,-0.475622676135381,0.0313707824592135,0.393152929371253
ENSGALG00010018604,0.747461249878162,3.87902471415799,0.0314037530164391,0.393196238425754
ENSGALG00010024944,0.475993938081094,5.73924134663907,0.0315222354415268,0.393648604707661
ENSGALG00010021264,0.521336061973715,7.52375961606099,0.0314747200456208,0.393648604707661
ENSGALG00010000235,5.06829738534658,-2.49171611447114,0.0320699843920379,0.396691116128811
ENSGALG00010027257,3.5034401263888,-2.06512258376691,0.0323291436185009,0.398785973412657
ENSGALG00010011759,0.583653716915083,6.97785500040262,0.0325048825290247,0.399843070223146
ENSGALG00010002277,0.629636115201654,5.71565328509245,0.0325929467666637,0.400556491536433
ENSGALG00010023686,0.796613765121865,2.75852355000496,0.0327025621336729,0.401163473982311
ENSGALG00010005839,0.679591857145626,3.73931972111915,0.0328825331035994,0.401522553626169
ENSGALG00010011287,0.485146235478888,6.50584078079016,0.0329189823495282,0.401588237395324
ENSGALG00010025415,0.483392362220676,6.6921119455867,0.0331766593643338,0.402165110147093
ENSGALG00010008113,0.915656874674489,2.04983188272598,0.0332214271295734,0.402341683836524
ENSGALG00010029270,0.877784192868377,7.80577233422551,0.0333796054348553,0.402639562510509
ENSGALG00010002377,3.14610048841757,-2.17305393537949,0.0334988290132553,0.402639562510509
ENSGALG00010019474,3.14610048841757,-2.17305393537949,0.0334988290132553,0.402639562510509
ENSGALG00010022251,1.69666468060265,2.1930301089341,0.0333449599903644,0.402639562510509
ENSGALG00010029274,0.778524496133793,6.00414143336979,0.0337888639333317,0.403431188933259
ENSGALG00010009246,1.2350295355774,1.56840329517384,0.0340122706661991,0.403842664719344
ENSGALG00010028876,0.586111894968829,5.53734423694768,0.0343388783189231,0.405911745310287
ENSGALG00010025436,1.1466671075087,0.980932628560263,0.0344518649162786,0.405967734246077
ENSGALG00010027516,0.73515291642207,4.49795418144154,0.0345074653541798,0.40610287407101
ENSGALG00010023794,0.606021542465607,3.85929680332861,0.0346890602157347,0.407361092651807
ENSGALG00010020616,0.517232117476132,5.57374824129459,0.0347881507793302,0.407361092651807
ENSGALG00010024594,1.26509331398481,1.0819767063971,0.0347931249402011,0.407361092651807
ENSGALG00010008342,0.544045929619596,7.34702357344191,0.0347099656438149,0.407361092651807
ENSGALG00010020303,0.657151265741049,4.41917477583871,0.0348514583792979,0.407630490367873
ENSGALG00010010077,0.47719176436075,6.47053101660417,0.0358037042070408,0.415123539987988
ENSGALG00010023766,2.15986017296227,4.18573148398037,0.0359127872686047,0.416026219123784
ENSGALG00010017580,0.830683628515409,2.68840956876359,0.0360740652822283,0.41665316001537
ENSGALG00010027499,0.481963256241755,6.09877442843918,0.0361711826119499,0.417205623165712
ENSGALG00010020657,0.469663511939159,5.66691054102518,0.0362403143445204,0.417280438805273
ENSGALG00010012210,0.593488377931477,3.80945471782623,0.0363275330648276,0.417923484878785
ENSGALG00010027196,0.570587961939869,4.51206934768821,0.0364098601282991,0.418452171205149
ENSGALG00010005831,0.603637950610958,4.26232533019138,0.0364758556862265,0.418452171205149
ENSGALG00010020878,0.744863666968029,4.96221758550021,0.0364991309818633,0.418452171205149
ENSGALG00010019123,0.481270057412658,7.13725645722321,0.036659354625972,0.419566943580067
ENSGALG00010020750,0.703554411026747,3.83047815226422,0.0368838687224653,0.421145256409734
ENSGALG00010003681,0.493188456175922,5.96095016699819,0.0368920968495841,0.421145256409734
ENSGALG00010012682,0.526025787436333,5.45145395805819,0.0371130640654544,0.422581401264944
ENSGALG00010018894,1.23267039296169,0.0993400208791147,0.0377538716595118,0.429144264716738
ENSGALG00010027135,0.586277586005181,4.19428170982934,0.0379744088224921,0.430534153740752
ENSGALG00010016416,0.708400647271812,4.02203578836706,0.0381023695586508,0.430534153740752
ENSGALG00010014840,0.698236484005997,5.11381126848497,0.0380144896045437,0.430534153740752
ENSGALG00010028517,0.785302126184595,3.91421607876386,0.0382602166603662,0.430969286985875
ENSGALG00010007917,0.668042344216629,4.04869693311523,0.0389153364712935,0.436388983561087
ENSGALG00010027869,0.967287746664137,3.06394014699304,0.0390929933660012,0.437276958540612
ENSGALG00010026249,1.75787535755844,-0.964340459561323,0.0390635025756232,0.437276958540612
ENSGALG00010023974,0.652572260204457,7.7415465701895,0.0394453434012635,0.439373632768924
ENSGALG00010014180,0.515183493234197,4.86947533292259,0.0393818826455737,0.439373632768924
ENSGALG00010021004,1.47161392341218,-0.323015794321274,0.0397650870025938,0.44173778398055
ENSGALG00010018385,0.624079525668018,3.64780936825844,0.0397902222471596,0.44173778398055
ENSGALG00010007183,1.30350244500403,0.839846871781712,0.0399448628737927,0.442716691518026
ENSGALG00010023479,1.02915109260551,2.71353196274642,0.0400666469025314,0.443064474389984
ENSGALG00010027950,0.585220675920396,4.30109015236998,0.0402679822634154,0.444449096696951
