lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
MFHAS1,0.864870071,0.822050371,1,0.019283747,0.015173764,MFHAS1
TMEM87A_2,0.305830419,0.822388318,1,0.040220386,0.036221243,no
SLC19A3_1,1.063994169,0.822444646,1,0.011019284,0.006852668,no
TCP11L1,0.423485368,0.822579836,1,0.069421488,0.066568771,TCP11L1
YARS2,0.333115041,0.822715032,1,0.036363636,0.032305433,YARS2
ERVFRD-1_2,1.188871503,0.822884034,1,0.00661157,0.002447381,no
PLEC,0.085959747,0.822962904,1,0.617630854,0.628487518,PLEC
INTU,0.690539718,0.823233331,1,0.011019284,0.006852668,INTU
ZNF771,0.210346207,0.823515047,1,0.035812672,0.031815957,no
ZNF18_7,1.500154257,0.823853137,1,0.01046832,0.006363191,no
PPP1R3D,0.790074885,0.823909488,1,0.018732782,0.014684288,PPP1R3D
ENSVKKG00000015624,0.554591238,0.824056006,1,0.014876033,0.010768478,no
CMIP,0.054235026,0.824134903,1,0.422589532,0.436612824,CMIP
GATA1,1.178098679,0.824258888,1,0.01046832,0.006363191,GATA1
NUPL1,0.256733507,0.824416692,1,0.117906336,0.116984826,no
HIPK2,1.25910306,0.824529414,1,0.01046832,0.006363191,HIPK2
BRPF1,0.211076826,0.824574504,1,0.136088154,0.135095448,BRPF1
C3ORF58,1.119751573,0.824957791,1,0.01046832,0.006363191,no
GUCY1A3,2.754231691,0.825341119,1,0.006060606,0.001957905,no
PIAS4,0.634289205,0.825465146,1,0.018732782,0.014684288,PIAS4
ENSVKKG00000013978,2.288797379,0.825521524,1,0.006060606,0.001957905,no
MAP3K7CL,1.720710874,0.825544075,1,0.006060606,0.001957905,MAP3K7CL
DHX34_1,2.254602909,0.825724489,1,0.006060606,0.001957905,no
C2ORF42,0.66947186,0.825724489,1,0.014876033,0.010768478,no
MLF1,1.612443089,0.825747042,1,0.006060606,0.001957905,MLF1
GTPBP4,0.013944367,0.825780871,1,0.543801653,0.562408223,GTPBP4
ZBTB6,1.511612892,0.8258147,1,0.006060606,0.001957905,ZBTB6
GSTK1,0.435083061,0.826153011,1,0.014876033,0.010768478,GSTK1
JMJD4,0.247835204,0.826288345,1,0.035812672,0.031815957,JMJD4
HSFY2,1.28559196,0.827066612,1,0.009917355,0.005873715,no
GTPBP6,0.260568976,0.827213261,1,0.052341598,0.048947626,GTPBP6
GGTA1,0.138491526,0.827292228,1,0.027548209,0.02349486,GGTA1
ENSVKKG00000013195,1.08949697,0.827698373,1,0.009917355,0.005873715,no
SEMA3C,0.966681838,0.827788634,1,0.009917355,0.005873715,SEMA3C
CGN,2.523020506,0.827957879,1,0.005509642,0.001468429,CGN
LZTS1,2.647862673,0.828093281,1,0.005509642,0.001468429,LZTS1
ENSVKKG00000005383,2.008378506,0.828251257,1,0.005509642,0.001468429,no
IRF2,0.129801139,0.828567228,1,0.351515152,0.363191385,IRF2
ENSVKKG00000011085,0.885359883,0.828747796,1,0.021487603,0.017621145,no
WIPF1,0.247358054,0.828747796,1,0.134986226,0.134116495,WIPF1
PRPF4B,0.156088218,0.828883227,1,0.438016529,0.456191875,PRPF4B
SFSWAP,0.178538635,0.828939659,1,0.333333333,0.348017621,SFSWAP
DYRK1B,0.422455609,0.829165393,1,0.033057851,0.029368576,DYRK1B
GATB,0.185640574,0.829391141,1,0.086501377,0.083210964,GATB
TRIM58,0.903781831,0.829605615,1,0.009366391,0.005384239,TRIM58
RNF6,0.25407961,0.83009105,1,0.1184573,0.116984826,RNF6
RNF25,0.186317787,0.830170081,1,0.187327824,0.189427313,RNF25
CAPN15,1.194800138,0.830260403,1,0.009366391,0.005384239,CAPN15
DPH2,1.179099083,0.830350728,1,0.009366391,0.005384239,DPH2
YWHAB,0.023746798,0.830384601,1,0.465564738,0.48556045,YWHAB
ENSVKKG00000000487,0.805759966,0.830689467,1,0.009366391,0.005384239,no
CABLES1,2.285583973,0.830779802,1,0.004958678,0.000978953,CABLES1
