lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
JAK2,0.628945112,2.3452299999999998e-20,1.5161500000000002e-18,0.175629792,0.120052055,JAK2,-0.2420488,0.008547688,0.072703757,0.216528926,0.273127753,JAK2
RHOC,0.628714561,0.000161585,0.002934731,0.073165389,0.05069949,RHOC,0.084391341,0.075868971,0.458979158,0.714600551,0.721977484,RHOC
IER3,0.627231598,2.25607e-14,1.07129e-12,0.172508215,0.129703937,IER3,1.169118762,7.41653e-31,9.53583e-29,0.541597796,0.407244249,IER3
SNAPC1,0.626309693,1.8678499999999998e-20,1.21988e-18,0.183953998,0.128999024,SNAPC1,0.142157659,0.899548709,1.0,0.194490358,0.199216838,SNAPC1
PSMB8,0.62590003,0.0,0.0,0.907447974,0.840364386,PSMB8,-0.433460563,3.54064e-12,1.33464e-10,0.586225895,0.674008811,PSMB8
PLGRKT,0.621188402,3.12295e-54,5.1450099999999995e-52,0.329956188,0.242598417,PLGRKT,0.047317524,0.452040896,1.0,0.108539945,0.125795399,PLGRKT
SETBP1,0.6205405,0.0021808,0.030648818,0.051533406,0.032968225,SETBP1,-0.952470362,0.777176847,1.0,0.009917355,0.015173764,SETBP1
VCPIP1,0.619901538,3.21322e-32,3.46215e-30,0.236363636,0.166034053,VCPIP1,0.396657467,0.459652113,1.0,0.260055096,0.266275086,VCPIP1
TAP1,0.617573261,1.07172e-75,2.3391000000000002e-73,0.401807229,0.292484546,TAP1,-0.28185153,4.21443e-05,0.00062001,0.457300275,0.544297602,TAP1
IRAK2,0.616570473,1.1622300000000002e-28,1.12847e-26,0.229025192,0.163973539,IRAK2,1.136332631,9.64095e-14,4.13196e-12,0.330578512,0.215859031,IRAK2
GAS7,0.614140809,1.24405e-05,0.000268765,0.104162103,0.079329791,GAS7,2.589046955,3.48682e-15,1.68264e-13,0.196694215,0.055800294,GAS7
MARCKSL1,0.613732159,0.000178112,0.003203013,0.057721796,0.034866067,MARCKSL1,1.889269948,8.69277e-08,1.99487e-06,0.150964187,0.053842389,MARCKSL1
TERF2IP_LOC107502665,0.609666526,8.63796e-17,4.6243e-15,0.167305586,0.117883093,TERF2IP,,,,,,
